Concept,Definition,Key Characteristics,Typical Confirmation,Trading Rule,Common Mistake,Related Concepts
"Order Block (OB)","Institutional price zone of last opposing candle before a directional move","- Last candle before move
- Zone of heavy institutional order flow","OB in line with higher‑timeframe bias","Enter at OB after sweep","Mistaking any support/resistance as OB","Liquidity Sweep; Fair Value Gap"
"Fair Value Gap (FVG)","Price imbalance/inefficiency that seeks rebalancing","- Three‑candle gap
- No trading in gap area","FVG aligned with OB","Target retracement 62‑79%","Over‑trading gaps","Order Block; Liquidity Void"
"Liquidity Pool","Cluster of stop‑losses or large orders institutions target","- High‑volume nodes
- Often near prior swing highs/lows","Liquidity pool near OB or FVG","Place stop beyond pool","Ignoring pool placement","Order Block; Liquidity Sweep"
"Premium/Discount (PD) Array","Value‑based pricing zones (0‑30 % discount, 70‑100 % premium)","- Defines ideal entry zones","Entry within correct PD range","Use PD for risk sizing","Entering outside PD","Order Block; Fair Value Gap"
"Market Structure","Higher highs/lows, Break‑of‑Structure (BOS), Change‑of‑Character (CHoCH)","- Determines bias","Break of structure confirms bias","Align trades with new structure","Misreading structure","AMD Model; PO3 Model"
"Kill Zone","High‑probability trading windows (London, NY, Asian sessions)","- Specific time windows","Trade only in kill zone","Wait for kill zone","Trading outside window","Macro Times"
"Silver Bullet","20‑minute precision window for high‑probability trades","- Specific minutes in session","Align entry with silver‑bullet window","Tight timing","Mis‑timed entry","Kill Zone"
"AMD Model","Accumulation → Manipulation → Distribution phases","- Three phases","Identify phase before entry","Trade within the identified phase","Ignoring phase","PO3 Model; Judas Swing"
"PO3 Model","Consolidation → Manipulation → Trend cycle (repeats each session)","- Three phases","Look for consolidation break","Enter on trend continuation","Overlooking manipulation","AMD Model"
"Judas Swing","False move in the first 30‑60 min of a session to trap retail traders","- Early‑session reversal","Wait for second swing","Avoid early trade","Jumping in too early","PO3 Model"
"Breaker Block","Failed OB that changes polarity","- OB fails to hold","Watch for reversal after failure","Exit on failure","Treating as normal OB","Order Block"
"Mitigation Block","Partially filled OB that still matters","- Partial fill
- Still a zone of interest","Keep as support/resistance","Use for stop placement","Ignoring mitigation","Order Block"
"Propulsion Block","Last OB before an explosive move","- Highest OB before trend acceleration","Enter on break of block","Use for breakout entries","Missing propulsion block","Order Block"
"Rejection Block","OB with strong initial price rejection","- Sharp price rejection candle","Use as reversal signal","Enter after rejection","Misreading rejection","Order Block"
"Swing Failure Pattern (SFP)","Brief violation of a level that fails and reverses","- Small move into next zone then reverse","Look for SFP after OB/FVG","Trade reversal","Over‑confident SFP","Order Block; Fair Value Gap"
"Liquidity Sweep","False break to trigger stops before a reversal","- Sharp move then rapid reversal","Enter after sweep completion","Use sweep as entry trigger","Ignoring sweep","Liquidity Pool"
"Smart Money Concepts (SMC)","Trading with institutional flow rather than retail noise","- Focus on OB, FVG, sweeps, liquidity pools","Apply all SMC concepts together","Follow SMC methodology","Trading retail‑centric","All concepts above"
"Institutional Order Flow","Reading large‑order footprints via OBs, FVGs, sweeps","- Footprint data
- Volume spikes","Confirm with OB/FVG alignment","Enter on institutional signals","Misreading flow","Smart Money Concepts"
"Displacement","Strong impulsive move indicating institutional activity","- Sudden large price move","Use as trend‑confirmation signal","Enter on displacement","Missing displacement","Order Block"
"Liquidity Void","Area of no trading activity (large gaps)","- Large chart gaps","Treat as potential reversal area","Place stop beyond void","Ignoring void","Fair Value Gap"
"Volume Imbalance","Disproportionate buy/sell volume creating inefficiency","- Large buy or sell volume spikes","Look for imbalance with OB/FVG","Use imbalance as entry trigger","Ignoring imbalance","Fair Value Gap; Order Block"


Concept,Definition,Key Characteristics,Typical Confirmation,ICT Entry Technique,ICT Price Action Model,Common Mistake,Related Concepts,Chart Example
"ICT Order Block (OB)","Institutional price zone of the last opposing candle before a directional move","Last candle before move; heavy institutional order flow; 1‑2‑candle cluster","Alignment with higher‑timeframe bias; price retests block; BOS after retest","Pullback to OB after liquidity sweep → breakout of OB’s high/low","Foundation of the “Market Structure” model; used in OB‑pullback set‑ups","Treating any S/R line as an OB","Liquidity Sweep; Fair Value Gap; Breaker Block; Mitigation Block","EUR/USD 4‑h 2024‑06‑12 OB @ 1.0800, retest → BOS @ 1.0825"
"ICT Fair Value Gap (FVG)","Three‑candle price gap creating an inefficiency","3‑candle pattern; middle candle’s high < prev low (bull) or low > prev high (bear)","Gap aligns with an OB; price returns to fill gap before continuation","Enter at edge of gap after it’s filled (2nd candle low for bullish, high for bearish)","Core of the “Imbalance” model; combined with OB for high‑prob entries","Jumping in before any price interaction","Order Block; Liquidity Void; Volume Imbalance","GBP/JPY 1‑h 2024‑05‑20 bullish FVG 158.80‑159.20 filled 159.45 → up to 160.10"
"ICT Liquidity Void","Large area with little or no trading activity (often a gap)","Wide price gap; low volume; appears after sharp moves","Price typically reverses when reaching void; stop‑hunt may occur","Place stops beyond void; consider entering on opposite side after bounce","“Liquidity Void” in the ICT “Imbalance” framework","Trading inside the void expecting continuation","Fair Value Gap; Liquidity Sweep; Volume Imbalance","USD/JPY daily 2023‑11‑02 gap 149.00‑149.70 reversed at 149.70"
"ICT Liquidity Pool","Cluster of stop‑losses or large institutional orders that the market targets","Usually just above recent highs or below recent lows; high‑volume nodes; visible on volume‑profile","Price moves into pool → sharp sweep → reversal","Enter after sweep when price retests pool and shows reversal candle","Drives “Liquidity Sweep” patterns","Ignoring pool location or entering before sweep finishes","Liquidity Sweep; Order Block; Fair Value Gap","EUR/GBP 4‑h 2024‑04‑15 pool @ 0.8600, sweep down to 0.8570 → reversal up"
"ICT Breaker Block (BB)","An OB that fails to hold, flipping market polarity","Same visual as OB but price breaks through its high/low quickly; often retested","Retest of broken level with reversal candle (pin‑bar, engulfing)","Short after bullish BB fails; long after bearish BB fails; entry at retest of broken level","“Breaker” in the ICT “Market Structure” model – signals reversal","Treating BB as a normal OB and expecting continuation","Order Block; Rejection Block; SFP","AUD/USD daily 2023‑12‑08 bullish BB @ 0.6800 broken → retest → sell"
